CODIGO DANE,MUNICIPIO,HABITANTES
76606,Restrepo,15496
76616,Riofrío,15657
76622,Roldanillo,37248
76670,San Pedro,17420
76736,Sevilla,41670
76823,Toro,14570
76828,Trujillo,19220
76834,Tuluá,221604
76845,Ulloa,5449
76863,Versalles,7037
76869,Vijes,13046
76890,Yotoco,16400
76892,Yumbo,111474
76895,Zarzal,42940
81001,Arauca,100365
81065,Arauquita,58270
81220,Cravo Norte,4294
81300,Fortul,20883
81591,Puerto Rondón,5098
81736,Saravena,65314
81794,Tame,50754
85001,Yopal,180513
85010,Aguazul,38607
85015,Chámeza,2676
85125,Hato Corozal,12298
85136,La Salina,1390
85139,Maní,17737
85162,Monterrey,18292
85225,Nunchía,8850
85230,Orocué,12851
85250,Paz de Ariporo,37933
85263,Pore,12248
85279,Recetor,1825
85300,Sabanalarga,3625
85315,Sácama,2091
85325,San Luis de Palenque,8477
85400,Támara,6670
85410,Tauramena,25573
85430,Trinidad,13660
85440,Villanueva,36752
86001,Mocoa,60572
86219,Colón,5682
86320,Orito,39810
86568,Puerto Asís,69074
86569,Puerto Caicedo,16448
86571,Puerto Guzmán,37682
86573,Puerto Leguízamo,30312
86749,Sibundoy,15902
86755,San Francisco,5720
86757,San Miguel,19973
86760,Santiago,7509
86865,Valle del Guamuez,35621
86885,Villagarzón,24759
88001,San Andrés,58817
88564,Providencia,6411
91001,Leticia,52003
91263,El Encanto (CD),2111
91405,La Chorrera (CD),3004
91407,La Pedrera (CD),4013
91430,La Victoria (CD),673
91460,Miriti - Paraná (CD),1910
91530,Puerto Alegría (CD),784
91536,Puerto Arica (CD),1059
91540,Puerto Nariño,10705
91669,Puerto Santander (CD),1801
91798,Tarapacá (CD),4005
94001,Inírida,34963
94343,Barrancominas,9131
94663,Mapiripana (CD),0
94883,San Felipe (CD),1758
94884,Puerto Colombia (CD),2001
94885,La Guadalupe (CD),299
94886,Cacahual (CD),911
94887,Pana Pana (CD),2028
94888,Morichal (CD),970
95001,San José del Guaviare,58206
95015,Calamar,10499
95025,El Retorno,14306
95200,Miraflores,7346
97001,Mitú,35838
97161,Carurú,3498
97511,Pacoa (CD),4881
97666,Taraira,2647
97777,Papunahua (CD),857
97889,Yavaraté (CD),1211
99001,Puerto Carreño,20798
99524,La Primavera,9846
99624,Santa Rosalía,4297
99773,Cumaribo,80837
